0.948	0.944	0.949	-0.089	0.737	0.961	-0.136	0.056	-0.105	1.000	0.995	0.991	0.284	0.273	0.278	1.000	0.404	0.913	0.978	0.952	0.926	0.853	0.831	0.855	0.974	0.941	0.920	0.927	0.651	0.930	0.922	0.624	0.509	0.384	0.385	0.397	0.450	0.480	0.511	0.284	-0.169	-0.156
0.429	0.424	0.433	-0.085	0.346	0.446	-0.088	0.087	0.055	0.404	0.413	0.386	0.022	0.038	0.012	0.404	1.000	0.298	0.396	0.340	0.294	0.250	0.398	0.392	0.430	0.461	0.445	0.451	0.308	0.403	0.451	0.189	0.173	0.148	0.148	0.153	0.180	0.201	0.237	0.117	-0.099	-0.034
0.910	0.906	0.914	-0.098	0.831	0.900	-0.069	0.064	-0.022	0.913	0.921	0.889	0.150	0.163	0.135	0.913	0.298	1.000	0.909	0.855	0.720	0.665	0.839	0.868	0.913	0.879	0.889	0.864	0.747	0.891	0.882	0.643	0.386	0.533	0.534	0.547	0.546	0.628	0.551	0.128	-0.041	-0.107
0.939	0.933	0.944	-0.149	0.771	0.964	-0.178	0.108	-0.089	0.978	0.974	0.968	0.254	0.250	0.248	0.978	0.396	0.909	1.000	0.911	0.882	0.775	0.819	0.847	0.965	0.947	0.939	0.944	0.670	0.906	0.928	0.583	0.473	0.398	0.399	0.411	0.473	0.501	0.562	0.261	-0.166	-0.132
0.878	0.874	0.880	-0.102	0.688	0.875	-0.084	0.062	-0.117	0.952	0.938	0.955	0.340	0.322	0.336	0.952	0.340	0.855	0.911	1.000	0.875	0.791	0.769	0.787	0.903	0.888	0.809	0.808	0.597	0.888	0.831	0.653	0.518	0.343	0.344	0.357	0.388	0.410	0.433	0.295	-0.190	-0.147
0.834	0.834	0.832	-0.049	0.538	0.865	-0.165	0.020	-0.183	0.926	0.911	0.931	0.359	0.326	0.365	0.926	0.294	0.720	0.882	0.875	1.000	0.911	0.696	0.714	0.879	0.838	0.812	0.846	0.472	0.817	0.809	0.520	0.565	0.210	0.211	0.219	0.316	0.299	0.406	0.368	-0.228	-0.193
0.769	0.778	0.759	0.106	0.413	0.784	-0.113	-0.107	-0.156	0.853	0.847	0.847	0.309	0.279	0.312	0.853	0.250	0.665	0.775	0.791	0.911	1.000	0.651	0.673	0.810	0.722	0.716	0.755	0.382	0.774	0.748	0.485	0.447	0.171	0.172	0.178	0.245	0.242	0.282	0.345	-0.211	-0.184
0.955	0.957	0.950	0.049	0.906	0.876	0.168	-0.052	-0.062	0.831	0.873	0.761	-0.139	-0.111	-0.156	0.831	0.398	0.839	0.819	0.769	0.696	0.651	1.000	0.990	0.909	0.873	0.890	0.853	0.793	0.959	0.927	0.699	0.276	0.539	0.539	0.554	0.503	0.618	0.511	0.164	-0.115	-0.072
0.971	0.973	0.966	0.023	0.916	0.900	0.148	-0.052	-0.065	0.855	0.895	0.788	-0.116	-0.093	-0.130	0.855	0.392	0.868	0.847	0.787	0.714	0.673	0.990	1.000	0.931	0.894	0.909	0.874	0.799	0.973	0.945	0.705	0.269	0.548	0.548	0.562	0.519	0.627	0.536	0.172	-0.128	-0.068
0.991	0.989	0.991	-0.070	0.828	0.990	-0.087	0.034	-0.065	0.974	0.985	0.943	0.106	0.100	0.106	0.974	0.430	0.913	0.965	0.903	0.879	0.810	0.909	0.931	1.000	0.954	0.967	0.962	0.729	0.970	0.968	0.667	0.434	0.445	0.446	0.457	0.475	0.544	0.541	0.235	-0.166	-0.103
0.954	0.946	0.961	-0.170	0.854	0.949	-0.089	0.122	-0.092	0.941	0.948	0.917	0.139	0.149	0.129	0.941	0.461	0.879	0.947	0.888	0.838	0.722	0.873	0.894	0.954	1.000	0.937	0.926	0.730	0.931	0.938	0.624	0.453	0.451	0.451	0.466	0.509	0.549	0.580	0.254	-0.158	-0.132
0.962	0.958	0.965	-0.107	0.846	0.973	-0.126	0.079	-0.039	0.920	0.939	0.880	0.029	0.044	0.020	0.920	0.445	0.889	0.939	0.809	0.812	0.716	0.890	0.909	0.967	0.937	1.000	0.986	0.788	0.905	0.961	0.576	0.411	0.489	0.490	0.502	0.534	0.612	0.603	0.187	-0.096	-0.119
0.946	0.943	0.947	-0.091	0.782	0.972	-0.171	0.052	-0.068	0.927	0.939	0.897	0.086	0.084	0.087	0.927	0.451	0.864	0.944	0.808	0.846	0.755	0.853	0.874	0.962	0.926	0.986	1.000	0.675	0.888	0.942	0.570	0.432	0.391	0.392	0.402	0.470	0.525	0.565	0.225	-0.133	-0.125
0.769	0.759	0.777	-0.139	0.863	0.717	0.075	0.156	0.078	0.651	0.690	0.588	-0.193	-0.116	-0.233	0.651	0.308	0.747	0.670	0.597	0.472	0.382	0.793	0.799	0.729	0.730	0.788	0.675	1.000	0.729	0.781	0.447	0.226	0.729	0.730	0.743	0.635	0.775	0.585	-0.004	0.066	-0.064
0.987	0.988	0.983	-0.005	0.865	0.939	0.068	-0.029	-0.083	0.930	0.952	0.885	0.030	0.030	0.027	0.930	0.403	0.891	0.906	0.888	0.817	0.774	0.959	0.973	0.970	0.931	0.905	0.888	0.729	1.000	0.949	0.734	0.359	0.473	0.473	0.486	0.464	0.546	0.501	0.230	-0.184	-0.078
0.976	0.974	0.975	-0.049	0.859	0.954	-0.009	0.019	-0.068	0.922	0.949	0.871	0.020	0.048	-0.001	0.922	0.451	0.882	0.928	0.831	0.809	0.748	0.927	0.945	0.968	0.938	0.961	0.942	0.781	0.949	1.000	0.524	0.313	0.511	0.512	0.523	0.544	0.611	0.577	0.221	-0.147	-0.106
0.690	0.693	0.686	0.005	0.641	0.637	0.083	-0.052	-0.056	0.624	0.629	0.607	-0.027	-0.090	0.018	0.624	0.189	0.643	0.583	0.653	0.520	0.485	0.699	0.705	0.667	0.624	0.576	0.570	0.447	0.734	0.524	1.000	0.279	0.252	0.252	0.263	0.191	0.284	0.276	0.120	-0.142	0.007
